Code,Description,Old_Rate,Revised_Rate
03-01-112,LEG AP VIEW,966.0,1150.0
03-01-113,LEG LAT VIEW,966.0,1150.0
03-01-114,LEG LEFT AP LATERAL,1945.0,2330.0
03-01-115,LEG RT AP LATERAL,1945.0,2330.0
03-01-116,LUMBO SACRAL OBLIQUE VIEW,966.0,1150.0
03-01-117,LUMBO SACRAL SPINE AP VIEW,1945.0,2330.0
03-01-118,LUMBO SACRAL SPINE AP/LATERAL,1945.0,2330.0
03-01-119,LUMBO SACRAL SPINE EXTENSION/FLEX ION,1945.0,2330.0
03-01-120,LUMBO SACRAL SPINE LATERAL VIEW,966.0,1150.0
03-01-121,MANDIBLE LT AP LATERAL VIEW,1945.0,2330.0
03-01-122,MANDIBLE AP VIEW,966.0,1150.0
03-01-123,MANDIBLE LATERAL VIEW,966.0,1150.0
03-01-124,MANDIBLE RT.AP LATERAL VIEW,1945.0,2330.0
03-01-125,MANDIBLE RT OBLIQUE,966.0,1150.0
03-01-126,MASTOID LEFT LATERAL,966.0,1150.0
03-01-127,MASTOID RIGHT LATERAL,966.0,1150.0
03-01-128,MICTURATING CYSTOGRAM THROGRAM,7290.0,8740.0
03-01-129,NASAL BONE,966.0,1150.0
03-01-130,NECK AP LATERAL VIEW,1945.0,2330.0
03-01-131,NECK AP VIEW,966.0,1150.0
03-01-132,NECK LATERAL VIEW,966.0,1150.0
03-01-133,OCCIPITOMENTAL VIEW,966.0,1150.0
03-01-134,OPEN MOUTH,966.0,1150.0
03-01-135,ORBIT LEFT AP/LAT,1945.0,2330.0
03-01-136,ORBIT PA VIEW,966.0,1150.0
03-01-137,ORBIT RIGHT AP/LAT,1945.0,2330.0
03-01-138,PNS AP/LAT VIEW,1945.0,2330.0
03-01-139,PARANASAL SINUSES LATERAL (PNS),966.0,1150.0
03-01-140,PARANASAL SINUSES LATERAL (VIEW),966.0,1150.0
03-01-141,PELVIS AP VIEW,966.0,1150.0
03-01-142,PELVIS AP/LAT (TWO VIEW),1945.0,2330.0
03-01-143,PELVIS LATERAL VIEW,966.0,1150.0
03-01-144,PITUITORY FOSSA,966.0,1150.0
03-01-145,PNS AP,966.0,1150.0
03-01-146,POST NASAL SPACE,966.0,1150.0
03-01-147,RADIUS ULNA AP VIEW,966.0,1150.0
03-01-148,RADIUS ULNA LAT VIEW,966.0,1150.0
03-01-149,RADIUS ULNA LT AP LATERAL,1468.0,1760.0
03-01-150,RADIUS ULNA RT AP LATERAL,1468.0,1760.0
03-01-151,RETRO GRADE PYELOGRAM,7290.0,8740.0
03-01-152,RETRO GRADE PYELOGRAM BILATRAL,13691.0,16420.0
03-01-153,RING FINGER AP LATERAL,966.0,1150.0
03-01-154,SACRO COCCYX SPINE AP,966.0,1150.0
03-01-155,SACRO COCCYX SPINE AP LATERAL,1945.0,2330.0
03-01-156,SACRO COCCYX SPINE AP LATERAL VIEW,1945.0,2330.0
03-01-157,SACRO COCCYX SPINE AP/LAT VIEW,1945.0,2330.0
03-01-158,SACROILIAC JOINT (TWO VIEWS),1945.0,2330.0
03-01-159,SACROILIAC JOINT THREE VIEW,2396.0,2870.0
03-01-160,SACROILIAC JOINT VIEW,966.0,1150.0
03-01-161,SCAPULA AP/LAT VIEW,1945.0,2330.0
03-01-162,SHOULDER LATERAL VIEW,966.0,1150.0
03-01-163,SHOULDER AP VIEW,966.0,1150.0
03-01-164,SHOULDER LF AP LATERAL,1945.0,2330.0
03-01-165,SHOULDER RT AP/LATERAL,1945.0,2330.0
03-01-166,SINOGRAM,6852.0,8220.0
03-01-167,SKELETAL SURVEY,11437.0,13720.0
03-01-168,SKULL AP VIEW,966.0,1150.0
03-01-169,SKULL AP/LATERAL VIEW,1945.0,2330.0
03-01-170,SKULL FOR TWONES VIEW,966.0,1150.0
03-01-171,SKULL LAT PORTABLE,1236.0,1480.0
03-01-172,STERNO CLAVICULAR JOINT,966.0,1150.0
03-01-173,STERNUM AP VIEW,966.0,1150.0
03-01-174,STERNUM AP/LAT. (TWO VIEW),1945.0,2330.0
03-01-175,STERNUM BONE AP LATERAL,1945.0,2330.0
03-01-176,STERNUM LAT VIEW,966.0,1150.0
03-01-178,T-TUBE CHOLANGIOGRAM,7290.0,8740.0
03-01-179,TEMPORO MANDIBULAR JOINT (TMJ) RIGHT,1945.0,2330.0
03-01-180,TEMPORO MANDIBULAR JOINT (TMJ)LT,1945.0,2330.0
03-01-181,THORASIC SPINE AP/LATERAL,1945.0,2330.0
03-01-182,THORASIC SPINE LAT VIEW,966.0,1150.0
03-01-183,THORCIC INLET,966.0,1150.0
03-01-184,THORCIC LUMBER SPINE AP/LAT,1945.0,2330.0
03-01-185,THUMB AP LATRAL VIEW,1468.0,1760.0
03-01-186,THUMB AP/LAT,1468.0,1760.0
03-01-187,TIBIA AP VIEW,966.0,1150.0
03-01-188,TIBIA AP/LATERAL LEFT VIEW,1945.0,2330.0
03-01-189,TIBIA LAT VIEW,966.0,1150.0
03-01-190,TIBIA RT AP LAT VIEW,1945.0,2330.0
03-01-191,URETHROGRAM,7290.0,8740.0
03-01-192,WRIST JOINT AP VIEW,966.0,1150.0
03-01-193,WRIST JOINT LAT VIEW,966.0,1150.0
03-01-194,WRIST JOINT LT AP LATERAL,1468.0,1760.0
03-01-195,WRIST JOINT OBLIQUE VIEW,966.0,1150.0
03-01-196,WRIST JOINT RT LATERAL,966.0,1150.0
03-01-197,MAMMOGRAPHY,,6000.0
03-01-198,OPG X-Ray,,1500.0
04-01-001,Ankle Joint Plain,8179.0,9810.0
04-01-002,Aorta Angiography (Without Contrast),,
04-01-003,Brain + Pituitary / Petrious Base,13601.0,16320.0
04-01-004,Brain Plain,8179.0,9810.0
04-01-005,Brain Plain + Contrast,16976.0,20370.0
04-01-006,Brain Plain With 3D (Three Dimension),12455.0,14940.0
04-01-007,Carotid Angiography (Without Contrast),,
04-01-008,Cerebral Angiography (Without Contrast),,
04-01-009,Cervical/Lumber / Dorsal Spine With 3D (Any One Region),14722.0,17660.0
04-01-010,Chest Contrast,20376.0,24450.0
04-01-011,CT Contrast Urography,17774.0,21320.0
04-01-012,CT Dorsal Spine,18122.0,21740.0
04-01-013,CT Elbo,8179.0,9810.0
04-01-014,CT Foot Plain,5667.0,6800.0
04-01-015,CT Hip Joint Contrast,20376.0,24450.0
04-01-016,CT Knee With Contrast,20376.0,24450.0
04-01-017,CT Leg 3D Plain,8179.0,9810.0
04-01-018,CT Neck Plain,8179.0,9810.0
04-01-019,CT Pelvimetry,8243.0,9890.0
04-01-020,CT Pelvis 3D,14722.0,17660.0
04-01-021,CT Scan Triphasic Upper Abdomen,20376.0,24450.0
04-01-022,CT Temporal Bone,14967.0,17960.0
04-01-023,CT Urogram With Contrast,20376.0,24450.0
04-01-024,CT-Guided Biopsies,9068.0,10880.0
04-01-025,CT-Myelogram (Region Of Interest),14722.0,17660.0
04-01-026,CT-Pyelogram/KUB,8179.0,9810.0
04-01-027,DVD Writing Charges For CT Scans Per DVD,,
04-01-028,Extra CT Scan Films Charges Per Film,,
04-01-029,HRCT Chest,8179.0,9810.0
04-01-030,HRCT Temporal Region,11978.0,14370.0
04-01-031,Lower Abdomen with Contrast,20376.0,24450.0
04-01-032,Neck Contrast,20376.0,24450.0
04-01-033,Non-lonic Contrast,5667.0,6800.0
04-01-034,Orbit Axial & Coronal,14722.0,17660.0
04-01-035,Peripheral Angiography (Without Contrast),,
04-01-036,PNS Axial & Coronal,14722.0,17660.0
04-01-037,PNS Coronal View / Orbit Axial View (Any One Redion),9068.0,10880.0
04-01-038,PNS Full Study With Contrast,20376.0,24450.0
04-01-039,Pulmonary Angiography (Without Contrast),,
04-01-040,Renal Angiography (Without Contrast),,
04-01-041,S.I Joint Plain,8179.0,9810.0
04-01-042,Second Opinion Reporting - CT Scan (Contrast),2808.0,3360.0
04-01-043,Second Opinion Reporting CT - Scan (Plain),1880.0,2250.0
04-01-044,Upper Abdomen or Pelvis with Contrast,20376.0,24450.0
04-01-045,Whole Abdomen (Abdomen + Pelvis) With Contrast,23776.0,28530.0
04-01-046,Calcium Score,,
04-01-047,Coronary Calcium Scoring,,
04-01-048,Coronary Artery Angiogram,,
04-01-049,СТРА,,
04-01-050,CT Aortogram,,
04-01-051,Peripheral Artery Angiogram,,
09-01-001,COLOR DOPPLER IMAGING OF PENIS (WITHOUT CAVERJECT),4778.0,5730.0
09-01-002,COLOR DOPPLER STUDY OF THYROID,3941.0,4720.0
09-01-003,COLOR FLOW IMAGING OF RENAL VESSELS,4740.0,5680.0
09-01-004,COLOR FLOW STUDY OF TUMORS,3941.0,4720.0
09-01-005,DOPPLER APPLICATIONS IN GYNACOLOGY,3181.0,3810.0
09-01-006,DOPPLER IMAGING OF BRAEST AND AXILLA,3941.0,4720.0
09-01-007,DOPPLER SCAN OF ABDOMINAL VESSELS,7870.0,9440.0
09-01-008,DOPPLER SONOGRAPHY OF BRAIN,5242.0,6290.0
09-01-009,DOPPLER U/S BRAIN (INFANTS),2267.0,2720.0
09-01-010,DOPPLER U/S BREAST,2898.0,3470.0
09-01-011,DOPPLER U/S CAROTID ARTERIES,5242.0,6290.0
09-01-012,DOPPLER U/S LOWER LIMB,4560.0,5470.0
09-01-013,"DOPPLER U/S PELVIS (FWB, IUGR, GYNEA)",2099.0,2510.0
09-01-014,DOPPLER U/S TESTIS AND SCROTUM,3941.0,4720.0
09-01-015,DOPPLER U/S THYROIDS,2640.0,3160.0
09-01-016,DOPPLER UPPER LIMB (BOTH),6801.0,8160.0
09-01-017,DOPPLER UPPER LIMB (SINGLE),3684.0,4420.0
09-01-018,ECHO (ECHOCARDIOGRAPHY TEST),4560.0,5470.0
09-01-019,ENDOVAGINAL COLOR FLOW IMAGING,5242.0,6290.0
09-01-020,FETAL ECHOCARDIOGRAPHY,5989.0,7180.0
09-01-021,FETAL ECHOCARDIOGRAPHY BY COLOR DOPPLER,4624.0,5540.0
09-01-022,GUIDED PROCEDURE (ABCESS DRAINAGE/BIOPSY),5989.0,7180.0
09-01-023,GUIDED PROCEDURE (PLEURAL EFFUSION),2898.0,3470.0
09-01-024,PORTABLE ECHO CHARGES,850.0,1020.0
09-01-025,Portal Vein/Liver Doppler,3684.0,4420.0
09-01-026,Renal Artery Stenosis,4778.0,5730.0
09-01-027,TRANSRECTAL U/S OF PROSTATE,3684.0,4420.0
09-01-028,U/S CHEST/MASS,3684.0,4420.0
09-01-029,U/S ORBIT (EYE),3684.0,4420.0
