Code,Description,Old_Rate,Revised_Rate
G0030,HB (HAEMOGLOBIN),554.0,660.0
G0031,"CARDIC ENZYMES (SGOT, LDH, CPK, CK-MB)",2177.0,2610.0
G0032,AFB SMEAR (ZN STAIN),361.0,430.0
G0033,SPUTUM FOR D/R,683.0,810.0
G0034,SEMEN ANALYSIS,914.0,1090.0
G0035,RH-ANTI BODY TITRE,1133.0,1350.0
G0036,BLOOD GROUP & RH FACTOR,592.0,710.0
G0037,URINE DR,386.0,460.0
G0038,STOOL D/R,283.0,330.0
G0039,NG ASPIRATE AFB SMEAR,348.0,410.0
G0040,"BODY FLUID (CSF, PLEURAL) D/R",1520.0,1820.0
G0041,GCT (GLUCOSE CHALLENGE TEST),927.0,1110.0
G0042,FUNGUS SMEAR (SKIN SCRAPINGetc-),386.0,460.0
G0043,24 HRS URINE FOR COPPER,3168.0,3800.0
G0044,24 HRS URINE FOR CORTISOL,3259.0,3910.0
G0045,ANTI PHOSPHOLIPID (APLA),11721.0,14060.0
G0046,"CHLORIDE (CSF, URINE)",361.0,430.0
G0047,RUBELLA ANTIBODIES (IgG & IgM),3851.0,4620.0
G0048,ENA PROFILE (EXTRACTABLE NUCLEAR),8398.0,10070.0
T0001,UREA (SERUM),348.0,410.0
T0003,URIC ACID (SERUM),451.0,540.0
T0005,CREATININE (SERUM),348.0,410.0
T0006,RANDOM BLOOD SUGAR (RBS),220.0,260.0
T0016,C-REACTIVE PROTIEN,1842.0,2210.0
T0017,SERUM SODIUM (Na+),824.0,980.0
T0018,POTASSIUM (SERUM),824.0,980.0
T0019,CHLORIDE (SERUM),824.0,980.0
T0020,BICARBONATE (SERUM),824.0,980.0
T0021,CALCIUM (SERUM),386.0,460.0
T0022,MAGNESIUM (SERUM),902.0,1080.0
T0024,COOMBS DIRECT,696.0,830.0
T0027,GAMMA GT (SERUM),515.0,610.0
T0028,SGPT (ALT),464.0,550.0
T0029,SGOT (AST),451.0,540.0
T0030,ALKALINE PHOSPHATASE (SERUM),554.0,660.0
T0031,CHOLESTROL,348.0,410.0
T0032,TRIGLYCERIDES,348.0,410.0
T0036,HBA1C (GLYCOSYLAT HAEMOGLOBIN),1468.0,1760.0
T0084,DENGUE (NS1 ANTIGEN),2859.0,3430.0
T0094,TLC (TOTAL LEUCOCYTE COUNT),554.0,660.0
T0095,DLC (DIFFERENTIAL LEUCOCYTES COUNT),477.0,570.0
T0109,PLATELET COUNT,554.0,660.0
T0132,ESR (ERYTHROCYTE SEDIMENTATION RATE),322.0,380.0
T0141,TPHA,3851.0,4620.0
T0142,COOMBS INDIRECT,811.0,970.0
T0145,TL-VDRL/RPR,592.0,710.0
T0147,URINE FOR CREATININE (Random/24 hrs.),451.0,540.0
